location,Code,Year,Diabetes
Afghanistan,AFG,2010,8.6
Afghanistan,AFG,2019,9.2
Africa Eastern and Southern,,2010,3.351852242
Africa Eastern and Southern,,2019,6.648452482
Africa Western and Central,,2010,4.472570947
Africa Western and Central,,2019,3.395120021
Albania,ALB,2010,4.5
Albania,ALB,2019,9
Algeria,DZA,2010,8.5
Algeria,DZA,2019,6.7
Andorra,AND,2010,6.6
Andorra,AND,2019,7.7
Angola,AGO,2010,3.5
Angola,AGO,2019,4.5
Antigua and Barbuda,ATG,2010,7.1
Antigua and Barbuda,ATG,2019,13.1
Arab World,,2010,9.804548729
Arab World,,2019,12.53600133
Argentina,ARG,2010,5.7
Argentina,ARG,2019,5.9
Armenia,ARM,2010,7.8
Armenia,ARM,2019,6.1
Aruba,ABW,2010,10.2
Aruba,ABW,2019,11.6
Australia,AUS,2010,5.7
Australia,AUS,2019,5.6
Austria,AUT,2010,8.9
Austria,AUT,2019,6.6
Azerbaijan,AZE,2010,7.5
Azerbaijan,AZE,2019,6.1
Bahamas,BHS,2010,10.4
Bahamas,BHS,2019,8.8
Bahrain,BHR,2010,15.4
Bahrain,BHR,2019,15.6
Bangladesh,BGD,2010,6.6
Bangladesh,BGD,2019,9.2
Barbados,BRB,2010,8
Barbados,BRB,2019,13.4
Belarus,BLR,2010,7.6
Belarus,BLR,2019,5
Belgium,BEL,2010,5.3
Belgium,BEL,2019,4.6
Belize,BLZ,2010,9.8
Belize,BLZ,2019,17.1
Benin,BEN,2010,4.6
Benin,BEN,2019,1
Bermuda,BMU,2010,10.2
Bermuda,BMU,2019,6.7
Bhutan,BTN,2010,3.6
Bhutan,BTN,2019,10.3
Bolivia,BOL,2010,6
Bolivia,BOL,2019,6.8
Bosnia and Herzegovina,BIH,2010,7.1
Bosnia and Herzegovina,BIH,2019,9
Botswana,BWA,2010,5.4
Botswana,BWA,2019,5.8
Brazil,BRA,2010,6.4
Brazil,BRA,2019,10.4
British Virgin Islands,VGB,2010,10.2
British Virgin Islands,VGB,2019,14.2
Brunei,BRN,2010,12.6
Brunei,BRN,2019,13.3
Bulgaria,BGR,2010,6.5
Bulgaria,BGR,2019,6
Burkina Faso,BFA,2010,3.8
Burkina Faso,BFA,2019,7.3
Burundi,BDI,2010,1.8
Burundi,BDI,2019,5.1
Cambodia,KHM,2010,5.2
Cambodia,KHM,2019,6.4
Cameroon,CMR,2010,3.9
Cameroon,CMR,2019,6
